l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
80091,39830,5733,132000,6,,50,,,,7244.43579237663,,,,,"","SRID=4326;LINESTRING(-2.08335459805291 53.0408366498615,-2.04384979787662 52.9800554656456)"
80593,2415,40114,400000,6,2,,National Grid Northfleet East-Singlewell,National Grid,,5770.90106748591,,,,,"","SRID=4326;LINESTRING(0.329816177066072 51.4283433494619,0.392936778664682 51.4048472809452)"
54519,9246,28054,250000,,,0,Moyle Interconnector,Mutual Energy,,4848.72506174601,,,,,"","SRID=4326;LINESTRING(-4.98076960124363 55.0696897884633,-5.04467363260642 55.0583980875947)"
15138,36967,56481,400000,6,,,National Grid Rayleigh Main-Tilbury,,,10793.2313880375,,,,,"","SRID=4326;LINESTRING(0.566550914757693 51.5940119543363,0.471621273380567 51.5216115685188)"
9778,56465,54283,400000,6,,,,,,13105.320473016,,,,,"","SRID=4326;LINESTRING(-2.10510565876717 53.4041770784234,-2.04330827175801 53.4923778140686)"
13291,7254,54969,132000,3;6;6;3,,,Sundon-?,,,4455.60701717518,,,,,"","SRID=4326;LINESTRING(-0.513585852394443 51.896506889178,-0.50109904681858 51.9342790351347)"
40630,28819,60117,400000;275000,6,4,,National Grid Lower Shelf-Monk Fryston,National Grid,,19508.2548839711,,,,,"","SRID=4326;LINESTRING(-1.55155381097236 53.713456395051,-1.80531215663936 53.7437310776324)"
21305,36124,23476,400000,,,,National Grid Pentir-Brynrefair (underground),National Grid,,36.3219088171641,,,,,"","SRID=4326;LINESTRING(-4.15630009356777 53.1412376831424,-4.15615142238825 53.1406871909743)"
9613,44282,20427,275000,6,2,,Scottish Power Neilston-?,,,19850.1627208144,,,,,"","SRID=4326;LINESTRING(-4.26232674612208 55.7742917210084,-4.47710973641706 55.8091080726021)"
33746,18898,35467,275000,6,1,50,,,,444.797438434475,,,,,"","SRID=4326;LINESTRING(-2.87898207569176 53.2804646276851,-2.88229219980754 53.2769613118846)"
80331,36544,5890,400000,6,,,Lovedean-Fleet,National Grid,VB,40857.9127331905,,,,,"","SRID=4326;LINESTRING(-1.03987491424455 50.9170399455599,-0.881880231674924 51.2508673216506)"
11908,55321,21413,132000,6,,50,,,,5502.19009821453,,,,,"","SRID=4326;LINESTRING(-2.90862555203635 51.5648951891677,-2.97102168819973 51.5482792790309)"
72023,7584,17116,275000,6,,,SP Transmission Strathaven-?,,,5550.13541364984,,,,,"","SRID=4326;LINESTRING(-4.14916617333219 55.8227092929647,-4.11526512671754 55.7915362980789)"
11633,2737,20483,275000,6,,,,,,9237.54922328343,,,,,"","SRID=4326;LINESTRING(-3.165519145721 55.8915081670595,-3.30886772094698 55.9023361779084)"
71988,5999,51001,275000,3,2,50,,,,8.36741476035945,,,,,"","SRID=4326;LINESTRING(-3.73067420738161 56.0751059803116,-3.72734163988559 56.0747441824811)"
74242,55065,37236,400000,6;3;3,,50,National Grid Indian Queens-Landulph,,,49400.6641643916,,,,,"","SRID=4326;LINESTRING(-4.89977983888227 50.3949978205236,-4.24248294923024 50.444854441787)"
12069,7231,55142,275000,6,,,Monk Fryston-Poppleton,National Grid,XC / XCP,37620.618891521,,,,,"","SRID=4326;LINESTRING(-1.13154484095074 53.9749612097677,-1.2664654674276 53.7563298124826)"
71320,11641,50594,275000,6,,,,,,4293.00553807312,,,,,"","SRID=4326;LINESTRING(-1.44963281451709 54.9733486517776,-1.4821496085848 55.0036732823018)"
62916,7768,11659,,,,,,,,246.792587650841,,,,,"","SRID=4326;LINESTRING(-3.68774228024074 51.5358259049141,-3.69302766634917 51.5340120579731)"
13159,22416,20717,400000,3,,50,,,,222.825587777111,,,,,"","SRID=4326;LINESTRING(-0.873627603818292 53.0792936004865,-0.867293297546999 53.0771873071939)"
8572,40990,55042,400000,3,2,50,National Grid Kingsnorth-Tilbury,,,1426.94709185133,,,,,"","SRID=4326;LINESTRING(0.407512326315145 51.4423389306351,0.38836778104242 51.456972723288)"
17849,7420,56845,400000,3,,,,,,426.877220100716,,,,,"","SRID=4326;LINESTRING(-1.22826445691933 51.6610821751211,-1.23125509309536 51.6655181709984)"
67182,2497,36615,,,,,,,,1221.21857285491,,,,,"","SRID=4326;LINESTRING(-0.112908797409017 51.3766159085147,-0.127701540470341 51.37332579274)"
80773,21398,40236,400000,6,2,50,,National Grid,,3974.30544050944,,,,,"","SRID=4326;LINESTRING(-2.22681407486074 53.4005298668316,-2.27594500533746 53.4210250704486)"
67940,20453,36672,400000,6,4,50,,,,510.535149856932,,,,,"","SRID=4326;LINESTRING(-3.9566590311287 51.6893485582607,-3.9604666989436 51.6827386041907)"
2886,56481,28837,400000,6,,,National Grid Rayleigh Main-Tilbury,,,8073.63034079658,,,,,"","SRID=4326;LINESTRING(0.471621273380567 51.5216115685188,0.4031100946144 51.4735564014796)"
10343,49608,55084,275000,6,,,,,,2067.31612728932,,,,,"","SRID=4326;LINESTRING(-0.017632865458661 51.6039336832726,-0.0476844424881877 51.6044941448047)"
