Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,V2,Stdout,Stderr
6,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf,,"0.027_0.018_0.009"
3,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf,,"0.042_0.033_0.009"
8,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf,,"0.027_0.020_0.007"
11,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Armenia/pcnf/0_5.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Armenia/pcnf/0_5.cnf,,"0.015_0.007_0.008"
12,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Armenia/pcnf/0_4.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Armenia/pcnf/0_4.cnf,,"0.014_0.006_0.008"
13,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Armenia/pcnf/2_0.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Armenia/pcnf/2_0.cnf,,"0.011_0.004_0.007"
14,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Armenia/pcnf/3_4.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Armenia/pcnf/3_4.cnf,,"0.015_0.006_0.010"
15,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Armenia/pcnf/4_2.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Armenia/pcnf/4_2.cnf,,"0.014_0.012_0.002"
16,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Armenia/pcnf/1_3.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Armenia/pcnf/1_3.cnf,,"0.009_0.005_0.004"
17,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Armenia/pcnf/5_4.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Armenia/pcnf/5_4.cnf,,"0.015_0.009_0.006"
2,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf,,"0.095_0.088_0.007"
10,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf,,"0.116_0.102_0.014"
4,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf,,"0.161_0.149_0.012"
9,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf,,"0.151_0.139_0.011"
7,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf,,"0.189_0.174_0.015"
1,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf,,"0.275_0.252_0.022"
5,:,1669896586.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf,,"0.324_0.310_0.013"
61,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/63_54.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/63_54.cnf,,"121.059_118.522_2.209"
56,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/60_73.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/60_73.cnf,,"121.179_118.355_2.468"
63,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/14_85.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/14_85.cnf,,"121.134_118.377_2.443"
