Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HISTORY_TRUE.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HISTORY_TRUE.ppidimacs,,"0.005_0.002_0.003
"
2,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HISTORY_FALSE.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HISTORY_FALSE.ppidimacs,,"0.005_0.002_0.002
"
3,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/CVP_LOW.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/CVP_LOW.ppidimacs,,"0.005_0.001_0.004
"
4,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/CVP_NORMAL.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/CVP_NORMAL.ppidimacs,,"0.005_0.001_0.004
"
5,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/CVP_HIGH.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/CVP_HIGH.ppidimacs,,"0.006_0.004_0.002
"
6,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/PCWP_LOW.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/PCWP_LOW.ppidimacs,,"0.005_0.001_0.004
"
7,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/PCWP_NORMAL.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/PCWP_NORMAL.ppidimacs,,"0.005_0.002_0.003
"
8,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/PCWP_HIGH.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/PCWP_HIGH.ppidimacs,,"0.005_0.003_0.002
"
9,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HRBP_LOW.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HRBP_LOW.ppidimacs,,"0.004_0.002_0.002
"
10,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HRBP_NORMAL.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HRBP_NORMAL.ppidimacs,,"0.005_0.002_0.003
"
11,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HRBP_HIGH.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HRBP_HIGH.ppidimacs,,"0.005_0.002_0.004
"
12,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HREKG_LOW.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HREKG_LOW.ppidimacs,,"0.005_0.001_0.005
"
13,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HREKG_NORMAL.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HREKG_NORMAL.ppidimacs,,"0.005_0.004_0.001
"
14,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HREKG_HIGH.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HREKG_HIGH.ppidimacs,,"0.005_0.002_0.003
"
15,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HRSAT_LOW.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HRSAT_LOW.ppidimacs,,"0.005_0.002_0.003
"
16,:,1680698645.000,0.000,0,0,127,0,"time (bash -c 'ulimit -t 605; schlandals_cmd instances/bayesian_networks/ppidimacs/alarm/HRSAT_NORMAL.ppidimacs' &>> /dev/null)",instances/bayesian_networks/ppidimacs/alarm/HRSAT_NORMAL.ppidimacs,,"0.006_0.003_0.003
"
