Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1680699063.000,0.000,0,195,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf' &>> /dev/null)
",
2,:,1680699063.000,0.000,0,191,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf' &>> /dev/null)
",
3,:,1680699063.000,0.000,0,191,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf' &>> /dev/null)
",
4,:,1680699063.000,0.000,0,191,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf' &>> /dev/null)
",
5,:,1680699063.000,0.000,0,193,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf' &>> /dev/null)
",
6,:,1680699063.000,0.000,0,193,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf' &>> /dev/null)
",
7,:,1680699063.000,0.000,0,193,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf' &>> /dev/null)
",
8,:,1680699063.000,0.000,0,191,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf' &>> /dev/null)
",
9,:,1680699063.000,0.000,0,191,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf' &>> /dev/null)
",
10,:,1680699063.000,0.000,0,191,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf' &>> /dev/null)
",
