Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1680699063.000,0.000,0,203,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/11_13.cnf.ple' &>> /dev/null)
",
2,:,1680699063.000,0.000,0,199,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/7_5.cnf.ple' &>> /dev/null)
",
3,:,1680699063.000,0.000,0,199,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/9_8.cnf.ple' &>> /dev/null)
",
4,:,1680699063.000,0.000,0,199,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/2_5.cnf.ple' &>> /dev/null)
",
5,:,1680699063.000,0.000,0,201,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/13_4.cnf.ple' &>> /dev/null)
",
6,:,1680699063.000,0.000,0,201,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/10_3.cnf.ple' &>> /dev/null)
",
7,:,1680699063.000,0.000,0,199,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/9_1.cnf.ple' &>> /dev/null)
",
8,:,1680699063.000,0.000,0,201,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/15_2.cnf.ple' &>> /dev/null)
",
9,:,1680699063.000,0.000,0,199,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/2_6.cnf.ple' &>> /dev/null)
",
10,:,1680699063.000,0.000,0,199,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf.ple instances/power_transmission_grid/europe/Albania/pcnf/8_4.cnf.ple' &>> /dev/null)
",
11,:,1680699063.000,0.000,0,199,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Armenia/pcnf/0_5.cnf.ple instances/power_transmission_grid/europe/Armenia/pcnf/0_5.cnf.ple' &>> /dev/null)",instances/power_transmission_grid/europe/Armenia/pcnf/0_5.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/power_transmission_grid/europe/Armenia/pcnf/0_5.cnf.ple instances/power_transmission_grid/europe/Armenia/pcnf/0_5.cnf.ple' &>> /dev/null)
",
