Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_32.cnf instances/water-supply-network/pcnf/Net1_2_32.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_2_32.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_32.cnf instances/water-supply-network/pcnf/Net1_2_32.cnf' &>> /dev/null)
",
2,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_23.cnf instances/water-supply-network/pcnf/Net1_2_23.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_2_23.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_23.cnf instances/water-supply-network/pcnf/Net1_2_23.cnf' &>> /dev/null)
",
3,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_32.cnf instances/water-supply-network/pcnf/Net1_9_32.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_9_32.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_32.cnf instances/water-supply-network/pcnf/Net1_9_32.cnf' &>> /dev/null)
",
4,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_23.cnf instances/water-supply-network/pcnf/Net1_9_23.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_9_23.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_23.cnf instances/water-supply-network/pcnf/Net1_9_23.cnf' &>> /dev/null)
",
5,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_36.cnf instances/water-supply-network/pcnf/Net2_1_36.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_36.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_36.cnf instances/water-supply-network/pcnf/Net2_1_36.cnf' &>> /dev/null)
",
6,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_30.cnf instances/water-supply-network/pcnf/Net2_1_30.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_30.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_30.cnf instances/water-supply-network/pcnf/Net2_1_30.cnf' &>> /dev/null)
",
7,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_26.cnf instances/water-supply-network/pcnf/Net2_1_26.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_26.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_26.cnf instances/water-supply-network/pcnf/Net2_1_26.cnf' &>> /dev/null)
",
8,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_34.cnf instances/water-supply-network/pcnf/Net2_1_34.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_34.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_34.cnf instances/water-supply-network/pcnf/Net2_1_34.cnf' &>> /dev/null)
",
9,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_10.cnf instances/water-supply-network/pcnf/Net2_1_10.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_10.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_10.cnf instances/water-supply-network/pcnf/Net2_1_10.cnf' &>> /dev/null)
",
10,:,1680699063.000,0.000,0,167,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_19.cnf instances/water-supply-network/pcnf/Net2_1_19.cnf' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_19.cnf,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_19.cnf instances/water-supply-network/pcnf/Net2_1_19.cnf' &>> /dev/null)
",
