Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_32.cnf.ple instances/water-supply-network/pcnf/Net1_2_32.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_2_32.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_32.cnf.ple instances/water-supply-network/pcnf/Net1_2_32.cnf.ple' &>> /dev/null)
",
2,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_23.cnf.ple instances/water-supply-network/pcnf/Net1_2_23.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_2_23.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_2_23.cnf.ple instances/water-supply-network/pcnf/Net1_2_23.cnf.ple' &>> /dev/null)
",
3,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_32.cnf.ple instances/water-supply-network/pcnf/Net1_9_32.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_9_32.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_32.cnf.ple instances/water-supply-network/pcnf/Net1_9_32.cnf.ple' &>> /dev/null)
",
4,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_23.cnf.ple instances/water-supply-network/pcnf/Net1_9_23.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net1_9_23.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net1_9_23.cnf.ple instances/water-supply-network/pcnf/Net1_9_23.cnf.ple' &>> /dev/null)
",
5,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_36.cnf.ple instances/water-supply-network/pcnf/Net2_1_36.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_36.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_36.cnf.ple instances/water-supply-network/pcnf/Net2_1_36.cnf.ple' &>> /dev/null)
",
6,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_30.cnf.ple instances/water-supply-network/pcnf/Net2_1_30.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_30.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_30.cnf.ple instances/water-supply-network/pcnf/Net2_1_30.cnf.ple' &>> /dev/null)
",
7,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_26.cnf.ple instances/water-supply-network/pcnf/Net2_1_26.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_26.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_26.cnf.ple instances/water-supply-network/pcnf/Net2_1_26.cnf.ple' &>> /dev/null)
",
8,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_10.cnf.ple instances/water-supply-network/pcnf/Net2_1_10.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_10.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_10.cnf.ple instances/water-supply-network/pcnf/Net2_1_10.cnf.ple' &>> /dev/null)
",
9,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_34.cnf.ple instances/water-supply-network/pcnf/Net2_1_34.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_34.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_34.cnf.ple instances/water-supply-network/pcnf/Net2_1_34.cnf.ple' &>> /dev/null)
",
10,:,1680699064.000,0.000,0,175,0,0,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_19.cnf.ple instances/water-supply-network/pcnf/Net2_1_19.cnf.ple' &>> /dev/null)",instances/water-supply-network/pcnf/Net2_1_19.cnf.ple,"time (bash -c 'ulimit -t 605; d4 -m projMC -f 1 -i instances/water-supply-network/pcnf/Net2_1_19.cnf.ple instances/water-supply-network/pcnf/Net2_1_19.cnf.ple' &>> /dev/null)
",
