Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_2_32.ppidimacs instances/water-supply-network/ppidimacs/Net1_2_32.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net1_2_32.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_2_32.ppidimacs instances/water-supply-network/ppidimacs/Net1_2_32.ppidimacs' &>> /dev/null)
",
2,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_2_23.ppidimacs instances/water-supply-network/ppidimacs/Net1_2_23.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net1_2_23.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_2_23.ppidimacs instances/water-supply-network/ppidimacs/Net1_2_23.ppidimacs' &>> /dev/null)
",
3,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_9_32.ppidimacs instances/water-supply-network/ppidimacs/Net1_9_32.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net1_9_32.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_9_32.ppidimacs instances/water-supply-network/ppidimacs/Net1_9_32.ppidimacs' &>> /dev/null)
",
4,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_9_23.ppidimacs instances/water-supply-network/ppidimacs/Net1_9_23.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net1_9_23.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net1_9_23.ppidimacs instances/water-supply-network/ppidimacs/Net1_9_23.ppidimacs' &>> /dev/null)
",
5,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_36.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_36.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net2_1_36.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_36.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_36.ppidimacs' &>> /dev/null)
",
6,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_30.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_30.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net2_1_30.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_30.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_30.ppidimacs' &>> /dev/null)
",
7,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_26.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_26.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net2_1_26.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_26.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_26.ppidimacs' &>> /dev/null)
",
8,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_34.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_34.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net2_1_34.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_34.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_34.ppidimacs' &>> /dev/null)
",
9,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_10.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_10.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net2_1_10.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_10.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_10.ppidimacs' &>> /dev/null)
",
10,:,1680699064.000,0.000,0,202,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_19.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_19.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net2_1_19.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net2_1_19.ppidimacs instances/water-supply-network/ppidimacs/Net2_1_19.ppidimacs' &>> /dev/null)
",
11,:,1680699064.000,0.000,0,206,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_15_141.ppidimacs instances/water-supply-network/ppidimacs/Net3_15_141.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net3_15_141.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_15_141.ppidimacs instances/water-supply-network/ppidimacs/Net3_15_141.ppidimacs' &>> /dev/null)
",
12,:,1680699064.000,0.000,0,204,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_2_253.ppidimacs instances/water-supply-network/ppidimacs/Net3_2_253.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net3_2_253.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_2_253.ppidimacs instances/water-supply-network/ppidimacs/Net3_2_253.ppidimacs' &>> /dev/null)
",
13,:,1680699064.000,0.000,0,204,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_2_251.ppidimacs instances/water-supply-network/ppidimacs/Net3_2_251.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net3_2_251.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_2_251.ppidimacs instances/water-supply-network/ppidimacs/Net3_2_251.ppidimacs' &>> /dev/null)
",
14,:,1680699064.000,0.000,0,208,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_147_141.ppidimacs instances/water-supply-network/ppidimacs/Net3_147_141.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net3_147_141.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_147_141.ppidimacs instances/water-supply-network/ppidimacs/Net3_147_141.ppidimacs' &>> /dev/null)
",
15,:,1680699064.000,0.000,0,208,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_147_153.ppidimacs instances/water-supply-network/ppidimacs/Net3_147_153.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net3_147_153.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_147_153.ppidimacs instances/water-supply-network/ppidimacs/Net3_147_153.ppidimacs' &>> /dev/null)
",
16,:,1680699064.000,0.000,0,212,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_River_231.ppidimacs instances/water-supply-network/ppidimacs/Net3_River_231.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net3_River_231.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_River_231.ppidimacs instances/water-supply-network/ppidimacs/Net3_River_231.ppidimacs' &>> /dev/null)
",
17,:,1680699064.000,0.000,0,212,0,0,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_River_219.ppidimacs instances/water-supply-network/ppidimacs/Net3_River_219.ppidimacs' &>> /dev/null)",instances/water-supply-network/ppidimacs/Net3_River_219.ppidimacs,"time (bash -c 'ulimit -t 605; schlandals -b fiedler -m 15000 -i instances/water-supply-network/ppidimacs/Net3_River_219.ppidimacs instances/water-supply-network/ppidimacs/Net3_River_219.ppidimacs' &>> /dev/null)
",
